"Activity"	"Subject"	"angle(tBodyAccMean,gravity)"	"angle(tBodyAccJerkMean),gravityMean)"	"angle(tBodyGyroMean,gravityMean)"	"angle(tBodyGyroJerkMean,gravityMean)"	"angle(X,gravityMean)"	"angle(Y,gravityMean)"	"angle(Z,gravityMean)"
"WALKING"	1	0.0604537474147368	-0.00793037848421052	0.0130594907157895	-0.0187431910452632	-0.729247201052632	0.276953023473684	0.0688589119894737
"WALKING"	2	-0.0301017378813559	0.0534005800847458	0.0216196774508475	-0.0858470827457627	-0.66195998	0.321443011864407	-0.0368892833067797
"WALKING"	3	0.0527502832051724	-0.0763020648793103	0.0968438316206897	-0.0366892195344828	-0.722804013965517	0.262491889655172	0.117403280068966
"WALKING"	4	-0.0120097781333333	0.00092110448333333	0.0177813678333333	0.0554159672016667	-0.865284280666667	0.1425101785	-0.0675179863833333
"WALKING"	5	-0.0322868203928571	-0.0117215775714286	0.0237357261964286	-0.0348937053392857	-0.91711397375	0.152461602857143	0.02003381474925
"WALKING"	6	-0.0680347059298246	0.00559532819298245	-0.0510580447719298	-0.0818817931526316	-0.806205222982456	0.230443600877193	-0.00130364271742105
"WALKING"	7	-0.0236143875614035	-0.00538084219298246	-0.0526936636491228	0.0538950093298246	-0.747765638245614	0.192339300350877	0.135380525087719
"WALKING"	8	0.0738615334791667	-0.0331417690625	-0.185503909375	0.045002304125	-0.684991673958333	0.231918891041667	0.153861202291667
"WALKING"	9	-0.0259657901346154	0.0623476589538462	0.121321075826923	-0.0265764240576923	-0.844514789230769	0.105281462134615	0.103849947479269
"WALKING"	10	-0.0198411322830189	-0.0428316086415094	-0.125263284139623	0.0990779386943396	-0.858275735471698	0.141082256018868	-0.0165720954830189
"WALKING"	11	0.0619381137627119	-0.0436671078627119	0.0579730796779661	0.0128608812542373	-0.770427852881356	0.228650907627119	-0.0716213475762712
"WALKING"	12	0.044980068738	0.0160849354	0.17552942728	-0.097263564	-0.8602325152	0.1903506524	0.04684284012
"WALKING"	13	0.0124904895157895	0.011902906	0.0222450741614035	0.0335795302807018	-0.670859876315789	0.277956892631579	0.113777056904404
"WALKING"	14	0.0594629443644068	0.00846107225254238	-0.0667097349779661	0.0667402088518644	-0.497783361864407	0.269740565084746	0.325065094745763
"WALKING"	15	0.0113831357222222	-0.0788266042777778	0.0405576878518518	-0.128636380174074	-0.778195970555556	0.243545333703704	-0.0307724957055556
"WALKING"	16	0.014808426	0.0100011474509804	-0.109617479829412	0.0878579411176471	-0.734720621176471	0.129418360588235	0.174356318431373
"WALKING"	17	0.0631849965737705	-0.00860624890163935	0.0733299990819672	0.0101386455737705	-0.727020840163934	0.207186541803279	0.155074008229508
"WALKING"	18	0.0392682820178571	0.0230035141785714	0.0191852722589286	-0.0632236084642857	-0.714313245892857	0.258089346428571	0.0647930851785714
"WALKING"	19	-0.0347371576365385	0.00980404751923077	0.0110769714807692	-0.0306780626346154	-0.766280999038462	0.23758545	0.0847615795576923
"WALKING"	20	-0.00401248347058823	0.0302966773176471	-0.00410840288235294	-0.0507534771176471	-0.665519646862745	0.322447638431373	0.0462280993401961
"WALKING"	21	-0.00341850440384616	-0.01283037275	0.0148503607692308	-0.0623046498461538	-0.581070944807692	0.340237707884615	0.176041617115385
"WALKING"	22	-0.00700273821739131	0.0411484050869565	-0.0882211719565217	0.0508926570863044	-0.748809057173913	0.262107576956522	0.0054581015
"WALKING"	23	0.0304546177791525	-0.0766106376715254	0.0274852541694915	-0.0703351409440678	-0.784798045254237	0.194885322372881	0.134716005084746
"WALKING"	24	-0.00303003688275862	-0.102713928482759	0.0465671147068966	-0.137551607358621	-0.830330757068966	0.162412044137931	0.120121440172414
"WALKING"	25	-0.0313601189563514	0.0971389151824324	0.034640032472973	0.0269911246081081	-0.778510625675676	0.170914295810811	-0.111244249918919
